date_time,temperature,humidity,light
2025-10-13 04:51:00,21.47,79.75,0.0
2025-10-13 04:52:00,21.7,78.91,0.0
2025-10-13 04:53:00,21.68,78.41,0.0
2025-10-13 04:54:00,21.6,78.65,0.0
2025-10-13 04:55:00,21.4,79.57,0.0
2025-10-13 04:56:00,21.3,80.0,0.0
2025-10-13 04:57:00,21.66,78.79,0.0
2025-10-13 04:58:00,21.98,78.16,0.0
2025-10-13 04:59:00,21.9,77.72,0.0
2025-10-13 05:00:00,21.61,79.33,0.0
2025-10-13 05:01:00,21.75,78.31,0.0
2025-10-13 05:02:00,21.3,79.66,0.0
2025-10-13 05:03:00,21.51,79.99,0.0
2025-10-13 05:04:00,21.12,80.33,0.0
2025-10-13 05:05:00,21.23,80.61,0.0
2025-10-13 05:06:00,21.23,80.62,0.0
2025-10-13 05:07:00,21.54,79.79,0.0
2025-10-13 05:08:00,21.63,79.12,0.0
2025-10-13 05:09:00,21.6,79.51,0.0
2025-10-13 05:10:00,21.26,80.48,0.0
2025-10-13 05:11:00,21.3,79.87,0.0
2025-10-13 05:12:00,21.3,80.93,0.0
2025-10-13 05:13:00,21.58,79.36,0.0
2025-10-13 05:14:00,20.96,81.33,0.0
2025-10-13 05:15:00,20.75,82.23,0.0
2025-10-13 05:16:00,20.54,82.73,0.0
2025-10-13 05:17:00,20.54,83.06,0.0
2025-10-13 05:18:00,20.61,82.9,0.0
2025-10-13 05:19:00,20.65,82.73,0.0
2025-10-13 05:20:00,20.5,82.82,0.0
2025-10-13 05:21:00,20.68,82.44,0.0
2025-10-13 05:22:00,20.71,82.18,0.0
2025-10-13 05:23:00,20.53,82.98,0.0
2025-10-13 05:24:00,20.55,82.94,0.0
2025-10-13 05:25:00,20.57,83.11,0.0
2025-10-13 05:26:00,20.64,82.75,0.0
2025-10-13 05:27:00,20.67,82.72,0.0
2025-10-13 05:28:00,21.13,81.42,0.0
2025-10-13 05:29:00,21.33,80.35,0.0
2025-10-13 05:30:00,20.99,81.71,0.0
2025-10-13 05:31:00,21.03,81.92,0.0
2025-10-13 05:32:00,21.09,81.65,0.0
2025-10-13 05:33:00,20.96,81.93,0.0
2025-10-13 05:34:00,21.0,81.94,0.0
2025-10-13 05:35:00,21.08,81.4,0.0
2025-10-13 05:36:00,21.02,81.54,0.0
2025-10-13 05:37:00,20.92,82.03,0.0
2025-10-13 05:38:00,21.4,80.46,0.0
2025-10-13 05:39:00,21.13,81.32,0.0
2025-10-13 05:40:00,21.58,80.23,0.0
2025-10-13 05:41:00,21.25,80.96,0.0
2025-10-13 05:42:00,21.19,81.46,0.0
2025-10-13 05:43:00,21.37,80.94,0.0
2025-10-13 05:44:00,21.16,81.48,0.0
2025-10-13 05:45:00,21.53,80.78,0.0
2025-10-13 05:46:00,21.42,80.55,0.0
2025-10-13 05:47:00,21.47,80.67,0.0
2025-10-13 05:48:00,21.35,80.99,0.0
2025-10-13 05:49:00,21.09,81.69,0.0
2025-10-13 05:50:00,21.02,82.15,0.0
